old	new	note
anInt162	bubbleItem	Mob
anInt163	bubbleTimeout	Mob
anInt164	damageTaken	Mob
anInt176	projectileCountdown	Mob
anInt179	skullVisible	Mob
anInt699	bubbleCount	mudclient
anIntArray705	bubbleScale	mudclient
anIntArray706	bubbleItemId	mudclient
anIntArray858	bubbleX	mudclient
anIntArray859	bubbleY	mudclient
attackingInt40	projectileFlightDuration	mudclient
method2	updateGame	GameWindow (tick, 50/s)
method4	renderFrame	GameWindow
anInt5	catchupTickLimit	GameWindow
anInt10	overloadCount	GameWindow
anInt16	loadingPercent	GameWindow
method358	getEntryOffset	DataOperations (.jag directory)
method359	getEntrySize	DataOperations
method245	drawSceneSprite	GameImage/GameImageMiddleMan/Camera
method45	drawNpc	mudclient
method52	drawPlayer	mudclient
method68	drawGroundItem	mudclient
method71	drawTeleportBubble	mudclient
anIntArray782	teleBubbleType	mudclient (0=teleport,1=telegrab)
anIntArray923	teleBubbleTime	mudclient
anInt456	mtfArraySize	DataFileVariables/bzlib MTFA_SIZE (4096)
anInt457	mtfSubArraySize	DataFileVariables/bzlib MTFL_SIZE (16)
anInt458	maxAlphaSize	DataFileVariables/bzlib MAX_ALPHA_SIZE (258)
anInt459	maxCodeLength	DataFileVariables/bzlib MAX_CODE_LEN (23)
anInt460	runBSymbol	DataFileVariables/bzlib BZ_RUNB (1)
anInt461	maxHuffmanGroups	DataFileVariables/bzlib BZ_N_GROUPS (6)
anInt462	symbolsPerGroup	DataFileVariables/bzlib BZ_G_SIZE (50)
anInt463	huffmanIterations	DataFileVariables/bzlib BZ_N_ITERS (4)
anInt464	maxSelectors	DataFileVariables/bzlib BZ_MAX_SELECTORS (18002)
aByteArray465	inputBuffer	DataFileVariables/compressed input (next_in)
anInt466	inputOffset	DataFileVariables/read cursor into inputBuffer
anInt467	inputRemaining	DataFileVariables/avail_in
anInt468	totalInLo32	DataFileVariables/bytes consumed, low 32
anInt469	totalInHi32	DataFileVariables/bytes consumed, high 32
aByteArray470	outputBuffer	DataFileVariables/decompressed output (next_out)
anInt471	outputOffset	DataFileVariables/write cursor into outputBuffer
anInt472	outputRemaining	DataFileVariables/avail_out
anInt473	totalOutLo32	DataFileVariables/bytes produced, low 32
anInt474	totalOutHi32	DataFileVariables/bytes produced, high 32
aByte475	stateOutCh	DataFileVariables/RLE output stage current byte (su_ch)
anInt476	stateOutLen	DataFileVariables/RLE output stage pending run length
aBoolean477	blockRandomised	DataFileVariables/block randomised flag (unsupported, prints PANIC)
anInt478	bitBuffer	DataFileVariables/bit reservoir (bsBuff)
anInt479	bitCount	DataFileVariables/bits valid in bitBuffer (bsLive)
anInt480	blockSize100k	DataFileVariables/always 1 = "BZh1" level
anInt481	currentBlock	DataFileVariables/block counter (currBlockNo)
anInt482	origPtr	DataFileVariables/BWT start row from block header
anInt483	tPos	DataFileVariables/current position in the BWT walk
anInt484	lastDecodedByte	DataFileVariables/RLE comparison byte (su_k0)
anIntArray485	bwtByteCounts	DataFileVariables/per-byte frequencies (unzftab)
anInt486	blockBytesUsed	DataFileVariables/bytes taken from block (nblock_used)
anIntArray487	cumulativeByteCounts	DataFileVariables/cftab
anIntArray488	cumulativeByteCountsCopy	DataFileVariables/cftabCopy, unused here
anIntArray489	bwtBuffer	DataFileVariables/tt array, byte + 24-bit successor link
anInt490	symbolsUsed	DataFileVariables/nInUse
aBooleanArray491	symbolInUse	DataFileVariables/inUse[256]
aBooleanArray492	symbolRangeInUse	DataFileVariables/inUse16
aByteArray493	symbolMap	DataFileVariables/seqToUnseq
aByteArray494	mtfSymbols	DataFileVariables/sliding MTF list (mtfa)
anIntArray495	mtfBase	DataFileVariables/cell offsets into mtfSymbols
aByteArray496	huffmanSelectors	DataFileVariables/selector
aByteArray497	huffmanSelectorsMtf	DataFileVariables/selectorMtf
aByteArrayArray498	huffmanCodeLengths	DataFileVariables/len[group][symbol]
anIntArrayArray499	huffmanLimits	DataFileVariables/limit tables
anIntArrayArray500	huffmanBases	DataFileVariables/base tables
anIntArrayArray501	huffmanPerms	DataFileVariables/perm tables
anIntArray502	huffmanMinLengths	DataFileVariables/minLens per group
anInt503	blockLength	DataFileVariables/decoded block size (save_nblock)
